Name,Value,Wage
Ludovic Blas,€11000K,€19K
Malang Sarr,€10500K,€20K
Elías Hernández,€7000K,€25K
Edson André Sitoe,€6000K,€28K
John McGinn,€10000K,€44K
Andeson Jaime Trigo Gonçalves,€5500K,€25K
Renato Ibarra,€8000K,€50K
Viktor Claesson,€0,€0
Ravel Morrison,€9500K,€34K
Mathias Jørgensen,€7500K,€53K
James McArthur,€6500K,€48K
Ludwig Augustinsson,€9000K,€23K
Alaixys Romao,€2400K,€18K
Rob Holding,€10000K,€52K
Rubén Rochina Naixes,€7500K,€24K
Fredy Montero,€7000K,€10K
Naïm Sliti,€8500K,€29K
Rúben Afonso Borges Semedo,€9000K,€1K
Nuno Miguel Jerónimo Sequeira,€6500K,€14K
Blerim Džemaili,€4500K,€30K
Dedryck Boyata,€7000K,€25K
Martín Benítez,€10000K,€20K
Gianluca Mancini,€11500K,€29K
Karol Linetty,€10500K,€28K
Theo Hernández,€9500K,€23K
Mattéo Guendouzi,€12500K,€49K
Robin Gosens,€10000K,€40K
Łukasz Skorupski,€6500K,€24K
Antonio García Aranda,€6500K,€22K
Ádám Szalai,€7000K,€29K
Raúl Rodríguez Navas,€5500K,€27K
Josip Brekalo,€11500K,€33K
Charlie Taylor,€8500K,€29K
François Kamano,€10000K,€29K
Theodor Gebre Selassie,€4800K,€24K
Kenneth Vermeer,€4200K,€11K
Alexis Mac Allister,€12500K,€17K
Ivan Radovanović,€6500K,€16K
Leonardo de Matos Cruz,€3500K,€1K
Marco Höger,€6500K,€25K
Craig Cathcart,€6000K,€51K
Victor Martin Maia Padilha,€2200K,€10K
Dennis Praet,€10000K,€63K
Alexandr Selikhov,€7000K,€34K
Jonathan Orozco,€4200K,€16K
Idrissa Doumbia,€10500K,€9K
Eduardo Expósito Jaén,€11500K,€20K
Matheus Lima Magalhães,€7000K,€11K
Adrian Mierzejewski,€6000K,€11K
Mehmet Zeki Çelik,€10000K,€27K
Jack Cork,€7000K,€34K
Deniz Türüç,€9000K,€56K
Xaver Schlager,€11500K,€30K
Benito Raman,€10000K,€25K
Michael Bradley,€6000K,€8K
Duje Ćaleta-Car,€9500K,€25K
Thomas Mangani,€6000K,€23K
Andriy Lunin,€11000K,€10K
Celso Ortíz,€6500K,€35K
Yordan Osorio,€0,€0
Carles Gil Pareja,€9000K,€9K
DeAndre Yedlin,€8500K,€32K
Martin Terrier,€11500K,€53K
Jonatan Maidana,€3600K,€22K
Ademola Lookman,€12500K,€32K
Dominik Kohr,€8500K,€28K
Davi Alexandre Parrela Ferreira,€5500K,€16K
Arnaut Danjuma Groeneveld,€11500K,€49K
Ricardo Sousa Esgaio,€8000K,€13K
Sergio Álvarez Díaz,€8000K,€21K
Maxwel Cornet,€10500K,€53K
Vladimír Coufal,€8000K,€1K
Albert Rusnák,€10000K,€8K
Harun Tekin,€6000K,€41K
Raúl Ruidíaz,€8000K,€10K
Pere Pons Riera,€9500K,€23K
Florin Andone,€9500K,€61K
Eduardo Henrique da Silva,€10500K,€12K
Adrián López Álvarez,€7000K,€32K
Nicolás Domínguez,€13500K,€12K
André Hansen,€6500K,€6K
Patrik Schick,€11000K,€42K
Aleix Vidal Parreu,€7500K,€24K
Jordy Clasie,€7500K,€12K
Alberto Moreno Pérez,€8000K,€27K
José Márcio da Costa,€3400K,€18K
Carlos Villanueva,€4700K,€36K
Seko Fofana,€9000K,€14K
Mason Holgate,€8000K,€49K
Lucas Robertone,€10500K,€13K
Jonas Svensson,€7000K,€10K
Fredrik Midtsjø,€8000K,€11K
Solly March,€8500K,€36K
Martin Harnik,€5500K,€16K
Benjamin Moukandjo,€6500K,€12K
Falaye Sacko,€8000K,€8K
Kieran Gibbs,€5500K,€38K
Lovre Kalinić,€5500K,€38K
Nicolás Blandi,€6500K,€22K
Lukas Lerager,€8000K,€16K
Gabriel Boschilia,€9000K,€29K
Miha Zajc,€9000K,€51K
Matt Phillips,€6500K,€41K
Junior Stanislas,€6500K,€55K
Gonzalo Castro,€5000K,€26K
Kenneth Omeruo,€8500K,€23K
Fabrio Sandro Farinha Donatelo,€7000K,€31K
Francisco Sol Ortiz,€8000K,€1K
Jonas Lössl,€5000K,€46K
Johan Mojica,€7000K,€10K
Mario Suárez Mata,€5000K,€9K
Bruno Vinícius Souza Ramos,€10500K,€9K
Cristian Álvarez,€3600K,€8K
Martin Braithwaite,€7000K,€30K
Wilfried Bony,€0,€0
Roger Assalé,€9000K,€23K
Habib Diallo,€9500K,€18K
Valon Behrami,€2600K,€27K
Lior Refaelov,€4000K,€13K
Yuriy Gazinskiy,€0,€0
Valère Germain,€6500K,€35K
Daniel Bessa,€8000K,€17K
Yuriy Lodygin,€4700K,€12K
Sebastian Langkamp,€4900K,€23K
Miloš Ninković,€3400K,€10K
Abdoulaye Touré,€7500K,€21K
Alfredo Morelos,€10500K,€44K
Lamine Koné,€5500K,€24K
Jesé Rodríguez Ruiz,€8000K,€14K
Emiliano Velázquez,€8000K,€7K
Majeed Waris,€7000K,€13K
Felipe Gutiérrez,€6500K,€9K
Serhiy Sydorchuk,€6500K,€1K
Lukas Rupp,€6500K,€32K
Simão Alvin Donatinho Garcia,€1800K,€13K
Luís Hernández Rodríguez,€5500K,€10K
Konstantinos Laifis,€7000K,€15K
Manuel Vallejo Galván,€11500K,€28K
Marko Rog,€8500K,€25K
Jimmy Durmaz,€6500K,€53K
Julio Furch,€6500K,€23K
Ádám Nagy,€8000K,€31K
Tamás Kádár,€6500K,€1K
Alfa Semedo Esteves,€8500K,€26K
Luis Milla Manzanares,€8500K,€9K
Matt Ritchie,€5500K,€34K
Jorge Hernández,€5500K,€19K
Rafał Gikiewicz,€4300K,€26K
Jeff Hendrick,€7000K,€32K
Philipp Klement,€8000K,€26K
Arijan Ademi,€6000K,€1K
João Pedro Barradas Novais,€8000K,€13K
Darwin Machís,€7000K,€20K
Marc-Oliver Kempf,€8000K,€20K
Oliver Norwood,€6500K,€34K
Philipp Bargfrede,€5500K,€23K
Alper Potuk,€6500K,€55K
Jakub Jankto,€10000K,€27K
Javier López Rodríguez,€3000K,€23K
Danilo D'Ambrosio,€5500K,€45K
Dimitri Liénard,€5500K,€27K
Germán Conti,€8000K,€11K
Luigi Sepe,€4900K,€29K
João Miguel Coimbra Aurélio,€5500K,€11K
Guido Carrillo,€7000K,€30K
Harry Wilson,€10500K,€46K
Jhon Lucumi,€9500K,€10K
Valon Berisha,€8000K,€40K
Jonatan Soriano Casas,€4200K,€12K
Óscar Cardozo,€0,€0
Ömer Ali Şahiner,€7000K,€18K
Tolgay Arslan,€6000K,€51K
Stuart Armstrong,€7500K,€46K
Khama Billiat,€6500K,€1K
Ivan Ricardo Cavaleiro,€8500K,€41K
Ezequiel Ponce,€9500K,€44K
Erick Cabaco,€8000K,€17K
Davide Santon,€5500K,€34K
Sada Thioub,€8500K,€19K
Silas Enaldo Barros de Almeida,€6000K,€13K
Dylan Bronn,€8000K,€16K
Luis Rodríguez,€5500K,€55K
Leighton Baines,€2300K,€57K
Ivan Šunjić,€8500K,€12K
Stephan Lichtsteiner,€1900K,€15K
Giannelli Imbula,€7500K,€17K
Daniel Royer,€6500K,€9K
Rémi Oudin,€9500K,€23K
Calvin Stengs,€11500K,€9K
Rafael Pinheiro Andrade Bittencourt,€675K,€14K
Zinedine Ferhat,€8000K,€22K
Filip Novák,€5500K,€27K
Jorge Valdivia,€2900K,€7K
Andy Carroll,€6500K,€39K
Łukasz Teodorczyk,€7000K,€19K
Jan Kopic,€6500K,€1K
Willy Caballero,€675K,€37K
Pedro Vaquizo,€0,€0
Robert Berić,€7000K,€32K
Yuto Nagatomo,€4100K,€48K
Tom Rogić,€8500K,€46K
Tiago Magalhães de Sá,€7500K,€9K
Louis Schaub,€9000K,€22K
Gabriel Jairo Aníbal Rangel,€6000K,€13K
Rafael da Conceição Leão,€11500K,€27K
Federico Vico Villegas,€8500K,€17K
Ángel Montoro Sánchez,€5000K,€18K
Mattia Destro,€7000K,€33K
Emiliano Martínez,€6000K,€46K
Diego Chará,€3200K,€8K
Alberto Grassi,€9000K,€32K
Michel Vlap,€9500K,€17K
Pablo Nicolás Dárenas,€0,€0
Daniel Torres,€5500K,€21K
Leonel Vangioni,€4100K,€34K
Aleksandar Prijović,€6500K,€39K
Kunde Malong,€8000K,€20K
Yannis Salibur,€6500K,€25K
Lisandro Magallán,€7000K,€19K
Alireza Jahanbakhsh,€8000K,€44K
Lukáš Masopust,€8000K,€1K
Emmanuel Badu,€6000K,€16K
David Jason Remeseiro Salgueiro,€8500K,€19K
Sebastián Cristóforo,€7000K,€38K
Allan Norberto Bardini Paneira,€7000K,€22K
Landry Dimata,€10000K,€16K
Robin Quaison,€8500K,€26K
Héctor Villalba,€8500K,€8K
Moussa Niakhaté,€8000K,€20K
Takumi Minamino,€9000K,€29K
Kelvin Amian,€8000K,€17K
Julio Buffarini,€5500K,€20K
José Emerson Mirazar Coelho,€2900K,€22K
Guillermo Fernández,€7500K,€24K
Ailton Sérgio Guevara Muscato,€7000K,€14K
Odil Akhmedov,€5500K,€17K
André Almeida Pinto,€5500K,€26K
Alexander Ring,€6500K,€8K
Luciano Aued,€5000K,€13K
Neal Maupay,€9500K,€40K
Matteo Darmian,€5500K,€36K
Nathaniel Chalobah,€8000K,€42K
Emanuele Giaccherini,€3400K,€6K
Adam Ounas,€10500K,€25K
André Luís Gomes Simões,€5500K,€1K
Adilson Patrick Edrada Pereira,€7000K,€33K
Artur Ioniță,€6500K,€30K
Timmy Chandler,€5500K,€29K
Claudio Pizarro,€0,€20K
Filip Krovinović,€9000K,€34K
Jasmin Kurtić,€6000K,€15K
Sergiy Kryvtsov,€6500K,€1K
José Diogo Dalot Teixeira,€10000K,€54K
Dídac Vilà Roselló,€5500K,€23K
Lorenzo De Silvestri,€6000K,€37K
Marcelo Saracchi,€8500K,€27K
Nacer Chadli,€6500K,€22K
Kalvin Phillips,€8500K,€43K
Cristian Borja,€7000K,€12K
Daniel Congré,€2500K,€26K
Florian Müller,€8000K,€12K
Matías Fritzler,€4400K,€13K
Alberto Paloschi,€6500K,€16K
Gökhan Gönül,€2300K,€48K
Caio Rodrigo Nunes Anjos,€4900K,€13K
Jérémy Morel,€2000K,€23K
Rubens Sambueza,€2900K,€15K
Ludovic Ajorque,€8500K,€28K
Otávio Alberto Cairinho Monteiro,€6000K,€23K
Germán Sánchez Barahona,€4300K,€18K
Carlos Fernández Luna,€10000K,€19K
Rasmus Falk,€7500K,€20K
André Ramalho Silva,€7000K,€30K
Robert Kenedy Nunes do Nascimento,€9500K,€19K
Junling Yan,€6000K,€13K
Leonardo Rodrigues Pereira,€5000K,€21K
Bruno Zuculini,€7500K,€20K
Nikola Vukčević,€7500K,€20K
Bastian Schweinsteiger,€2500K,€8K
Ciaran Clark,€5500K,€34K
Dean Henderson,€8500K,€20K
Christian Kouamé,€10000K,€14K
Mathias Jensen,€9000K,€35K
Maxime Gonalons,€5500K,€18K
Diego Valdés,€8500K,€20K
James McCarthy,€6000K,€44K
Darlington Nagbe,€6500K,€9K
Rick Karsdorp,€8000K,€11K
Ike Opara,€5500K,€8K
Javier Aquino,€6500K,€60K
Ola Kamara,€6500K,€10K
Petros Mantalos,€7000K,€1K
Andrea Conti,€8500K,€32K
Carlos Sánchez,€3200K,€57K
Islam Slimani,€6000K,€36K
Caner Erkin,€5500K,€48K
Éder Macedo Lopes,€6000K,€45K
Lucas Martínez Quarta,€9500K,€17K
Wayne Hennessey,€4000K,€34K
Victor Osimhen,€11000K,€27K
Bernardo Fernandes,€8000K,€33K
Papiss Demba Cissé,€3500K,€16K
Josip Drmić,€8000K,€46K
Saphir Taïder,€7000K,€9K
Mason Mount,€11500K,€57K
Allan McGregor,€675K,€22K
Håvard Nordtveit,€5500K,€29K
Omar Elabdellaoui,€6500K,€1K
Fabián Castillo,€7000K,€12K
Luca Zuffi,€6500K,€26K
Kevin Möhwald,€8000K,€24K
Lautaro Giannetti,€8500K,€13K
Nicholas Júlio Aldair Leal,€7000K,€29K
Ryan Sessegnon,€11000K,€38K
Koffi Djidji,€7000K,€34K
Jorgino Silas Ruiz Prestes,€6000K,€13K
Volkan Babacan,€4500K,€24K
Holger Badstuber,€5500K,€24K
Yoshinori Mutō,€8000K,€39K
Marcus Coco,€9000K,€21K
Mariano Barbosa,€2900K,€21K
Sergio Postigo Redondo,€5500K,€20K
Renato Júnior Luz Sanches,€10000K,€25K
Eric Fernando Botteghin,€4900K,€13K
Gennaro Tutino,€10000K,€16K
Emiliano Buendía,€10000K,€36K
Ghislain Konan,€8000K,€21K
Jarrod Bowen,€10000K,€13K
Daniel Brosinski,€5500K,€23K
Siebe Schrijvers,€9500K,€20K
Pierrick Capelle,€5000K,€22K
Tom Davies,€9500K,€46K
Hugo Rodallega,€4200K,€26K
Nabil Dirar,€4000K,€53K
Alexandru Epureanu,€4300K,€30K
Silviu Lung,€5000K,€11K
Sam Larsson,€8000K,€15K
Ionuț Andrei Radu,€9500K,€10K
Artur Boruc,€675K,€23K
Federico Santander,€7000K,€33K
Sebastien Dewaest,€6500K,€15K
Justin Kluivert,€11500K,€29K
Hugo Ayala,€4300K,€53K
Moussa Konaté,€8500K,€20K
Christian Mathenia,€5500K,€11K
João Miguel Macedo da Silva,€6500K,€7K
Tin Jedvaj,€8500K,€18K
Jordan Ayew,€7000K,€50K
Ryan Christie,€8500K,€40K
Thomas Foket,€8000K,€21K
Manuel Marouan da Costa Senoussi,€3100K,€32K
Francesco Caputo,€6000K,€47K
Andrés Felipe Roa,€8000K,€20K
Romain Thomas,€4900K,€20K
Lucas Andersen,€8500K,€15K
Juan Dinenno,€9000K,€4K
Marc Cucurella Saseta,€11000K,€16K
Luis Montes,€3900K,€28K
Eddy Gnahoré,€8500K,€18K
Marcelo Barovero,€1800K,€18K
Paulo Gazzaniga,€6000K,€50K
Danilo Manuel Aldair Rochela,€7000K,€17K
Jakub Błaszczykowski,€4000K,€9K
Marcel Schmelzer,€4800K,€50K
Sandro Ramírez Castillo,€9500K,€18K
Jesper Hansen,€2900K,€16K
Wesley Saïd,€9500K,€25K
Joaquín Navarro Jiménez,€5500K,€21K
Enner Valencia,€6500K,€65K
Lucas Olaza,€8000K,€17K
Cássio Albuquerque Anjos,€675K,€11K
Sven Kums,€5500K,€20K
Ricky van Wolfswinkel,€6500K,€27K
Fábio Santos Martins,€8000K,€12K
Éder Balanta,€8000K,€19K
Oussama Idrissi,€9000K,€11K
Mats Rits,€8000K,€20K
Hamari Traoré,€6500K,€33K
Alexander Nübel,€8500K,€17K
Nicolás Castillo,€8500K,€50K
Mahmut Tekdemir,€4900K,€30K
Guus Til,€9500K,€34K
Darwin Quintero,€6000K,€9K
Kevin Akpoguma,€8000K,€24K
Ola Aina,€10500K,€32K
Luiz Araújo,€10000K,€29K
Hanno Behrens,€6500K,€15K
Mario Gómez,€4200K,€28K
Yann Karamoh,€10500K,€28K
Miguel Layún,€4800K,€34K
Youssouf Sabaly,€7000K,€26K
Zainadine Chavango Júnior,€4900K,€10K
Ramazan Özcan,€1800K,€23K
Joe Lolley,€7000K,€40K
Xavier Chavalerin,€6000K,€25K
Alfredo Donnarumma,€7000K,€16K
Vitaliy Buyalskyi,€8000K,€1K
Adel Taarabt,€6500K,€13K
Valentin Eysseric,€7000K,€47K
Stefano Sturaro,€8000K,€17K
Alfred Duncan,€8000K,€44K
James Tavernier,€6500K,€42K
Andrea Ranocchia,€4900K,€45K
Mauricio Isla,€4800K,€48K
Lucas Menossi,€7500K,€17K
Robert Skov,€9500K,€29K
Timo Baumgartl,€8000K,€13K
Thiago Maia Alencar,€8500K,€26K
Adrian Mariappa,€4300K,€49K
Bernardo Espinosa,€5500K,€24K
Joshua Brenet,€7000K,€26K
Bradley Dack,€8500K,€21K
William Vainqueur,€5500K,€24K
Milan Borjan,€0,€0
Eloy Room,€4500K,€6K
Alexander Szymanowski,€6500K,€27K
Jarlan Barrera,€9500K,€5K
Christopher Schindler,€5500K,€31K
Bruno Petković,€9000K,€1K
Denis Bouanga,€8500K,€25K
Mykyta Burda,€8500K,€1K
Lago Júnior,€6500K,€25K
Gustavo Cabral,€3100K,€19K
Josef Hušbauer,€6500K,€1K
Maya Yoshida,€5500K,€42K
Danilo Cataldi,€8500K,€35K
Christian Fassnacht,€8500K,€21K
David Hovorka,€7500K,€1K
Jonathan de Guzmán,€5500K,€30K
Enrique González Casín,€6500K,€24K
Mert Günok,€5000K,€24K
Neil Etheridge,€5500K,€21K
Júnior Fernandes,€6500K,€15K
Anuar Mohamed Tuhami,€8500K,€15K
Martín Aguirregabiria,€8000K,€17K
Dame N'Doye,€3500K,€22K
Tiago Miguel Baía Pinto,€4800K,€19K
Scott Brown,€2600K,€42K
José Luis García del Pozo,€6500K,€28K
Calum Chambers,€8000K,€49K
Gen Shoji,€7500K,€24K
Juan Foyth,€10000K,€44K
Michael Krmenčík,€8500K,€1K
William Troost-Ekong,€7500K,€14K
Miha Mevlja,€0,€0
Konstantinos Stafylidis,€7500K,€26K
Janik Haberer,€8000K,€22K
Emmanuel Dennis,€10000K,€18K
Ezequiel Ávila,€9000K,€29K
Vasilios Barkas,€6000K,€1K
Marius Wolf,€8000K,€20K
Miloš Veljković,€8000K,€20K
Jetro Willems,€7500K,€31K
Emmanuel Mas,€5500K,€20K
Aaron Long,€8000K,€8K
Stefano Okaka,€6500K,€19K
Alexandru Mitriță,€8500K,€8K
Cristiano Biraghi,€7000K,€45K
Faris Haroun,€3200K,€12K
Borja Valle Balonga,€8000K,€11K
José Carlos Gonçalves Rodrigues,€6000K,€20K
Dan Gosling,€6500K,€55K
Jonathan David,€12500K,€13K
Hernâni Jorge Santos Fortes,€7000K,€22K
Jacob Bruun Larsen,€11000K,€41K
Wes Morgan,€2000K,€41K
Suat Serdar,€9000K,€24K
Mubarak Wakaso,€6500K,€23K
Kaíque Osvaldo Castro Rodrigues,€1800K,€13K
Gonzalo Melero Manzanares,€8000K,€19K
Borja González Tomás,€8000K,€30K
Óscar Murillo,€4900K,€19K
Dimitrios Pelkas,€8500K,€1K
Christian Günter,€7000K,€21K
Érick Gutiérrez,€9000K,€15K
Çağlar Söyüncü,€8000K,€49K
Bouna Sarr,€6500K,€28K
Ben Pearson,€8000K,€21K
Marcos Nascimento Teixeira,€8000K,€42K
Boubacar Kamara,€10000K,€15K
Konstantinos Mitroglou,€6000K,€18K
Gastón Giménez,€6000K,€14K
Cláudio Falcão Santos,€8000K,€10K
Luis Díaz,€11500K,€11K
Darko Brašanac,€7500K,€28K
Pablo Zabaleta,€2300K,€57K
Salvador Sevilla López,€2800K,€18K
Yves Bissouma,€9000K,€36K
Yevhen Konoplyanka,€6500K,€1K
Joris Gnagnon,€8000K,€28K
Luciano Acosta,€8000K,€8K
Àlex Granell Nogué,€6000K,€11K
Marco Fabián,€6500K,€9K
Wesley Hoedt,€7500K,€11K
Sandro Tonali,€13500K,€7K
Junya Ito,€8000K,€17K
Borja García Freire,€6500K,€11K
José Juan Vázquez,€5000K,€19K
David Barbona,€9000K,€17K
Manuel Gulde,€6000K,€22K
Franco Jara,€6500K,€23K
Simon Francis,€2500K,€49K
Gabriel Vasconcelos F.,€6500K,€13K
Valentino Lazaro,€7500K,€39K
Agustín Rossi,€7500K,€11K
Alexandre Moreno Lopera,€7000K,€20K
Erick Sebastião Laforte Medeiros,€6000K,€20K
Rubén Salvador Pérez del Mármol,€6000K,€27K
Nampalys Mendy,€6000K,€57K
Rodrigo Ely,€7500K,€19K
Alexis Martín Arias,€6500K,€11K
Bastian Oczipka,€5500K,€25K
Karim Onisiwo,€8000K,€28K
Younousse Sankharé,€6500K,€30K
Ridgeciano Haps,€7000K,€13K
Hyeon Woo Jo,€5500K,€6K
Youssouf Koné,€8500K,€42K
Felix Uduokhai,€8500K,€15K
Damien Le Tallec,€5500K,€28K
Matthew Lowton,€5500K,€29K
Florin Niță,€4300K,€1K
Amadou Diawara,€10000K,€26K
Unai Simón Mendibil,€8500K,€13K
Alberth Elis,€9000K,€8K
Matías Fernández,€3900K,€5K
Chang Hoon Kwon,€8500K,€22K
Tomasz Kędziora,€8000K,€1K
Ahmed Hegazi,€6500K,€38K
Tyler Boyd,€9000K,€46K
Magnus Wolff Eikrem,€6500K,€9K
Dominick Drexler,€6500K,€26K
Demarai Gray,€9000K,€60K
Marko Pjaca,€8500K,€71K
Luis Quiñones,€6500K,€60K
Mehmet Topal,€3200K,€30K
Rodrigo Alves Soares,€7000K,€1K
Terence Kongolo,€7500K,€28K
Francisco José Beltrán Peinado,€9000K,€14K
Vedat Muriqi,€8500K,€55K
Sergio Álvarez Conde,€4000K,€16K
Florian Kainz,€8000K,€25K
Arbër Zeneli,€8500K,€23K
Diego Buonanotte,€6000K,€13K
Andrew Surman,€5000K,€53K
Scott Dann,€4300K,€42K
Darren Randolph,€4000K,€24K
Jovane Eduardo Borges Cabral,€10000K,€11K
Benjamin Henrichs,€9000K,€26K
Ivanildo Jorge Mendes Fernandes,€9500K,€22K
Joseba Zaldúa Bengoetxea,€6500K,€23K
Angelo Fulgini,€9500K,€19K
Martin Kelly,€6500K,€44K
Yannick Bolasie,€6500K,€14K
José Pedro Fuenzalida,€3400K,€14K
Bruno Bianchi,€5500K,€13K
Avilés Hurtado,€5500K,€40K
Vincent Janssen,€8500K,€38K
Danny Vukovic,€2900K,€12K
Panagiotis Retsos,€10000K,€32K
Juan Camilo Hernández,€9500K,€20K
Sebastián Palacios,€7000K,€20K
Clinton Mukoni Mata Pedro Lourenço,€7000K,€19K
Francisco Casilla Cortés,€4000K,€40K
Óscar Plano Pedreño,€6500K,€20K
Kauê Enaldo Lima Rodrigues,€2000K,€17K
Erling Braut Håland,€11000K,€14K
Renaud Cohade,€3200K,€18K
Hillal Soudani,€6000K,€1K
Nicolae Stanciu,€8500K,€1K
Caio Canedo Corrêa,€7000K,€1K
Zakaria Labyad,€8000K,€18K
Jemerson de Jesus Nascimento,€7000K,€30K
Nicolás Domingo,€2600K,€18K
Thomas Kraft,€4500K,€19K
Rodolfo Cota,€4300K,€20K
Marcos G. Santos Matos,€9000K,€21K
Lukas Podolski,€3400K,€10K
Moses Simon,€9000K,€21K
Leandro González Pirez,€7000K,€8K
Federico Ricca,€8000K,€17K
Federico Higuaín,€3400K,€9K
Guilherme Costa Marques,€6500K,€15K
Augusto Solari,€7000K,€20K
Ainsley Maitland-Niles,€9500K,€41K
Waldo Rubio Martin,€9000K,€17K
Harvey Barnes,€11000K,€52K
Craig Dawson,€5500K,€51K
Marc Schnatterer,€4000K,€15K
Omar Kharbin,€8500K,€36K
Léandre Tawamba,€6500K,€27K
Alfred Gomis,€6000K,€10K
Dodi Lukébakio,€9500K,€21K
Adrien Tameze,€8000K,€28K
Sam Johnstone,€6500K,€29K
Osvaldo Alonso,€3200K,€8K
José de Jesús Corona,€675K,€12K
Marcus Thuram,€9000K,€19K
Jonathan Schmid,€5500K,€22K
Godfred Donsah,€9000K,€13K
Felipe Dal Bello,€2100K,€12K
Adam Webster,€6500K,€30K
Shane Long,€4500K,€46K
Renato Tapia,€7000K,€10K
Ollie Watkins,€7500K,€35K
Duirval Hélton Diniz Cabral,€1700K,€9K
Bryan Dabo,€6000K,€40K
Kristoffer Ajer,€7500K,€28K
Aleix Febas Pérez,€8000K,€19K
Francisco Guerrero Martín,€8500K,€17K
Kamil Grosicki,€4900K,€14K
Harlem-Eddy Gnohere,€5000K,€16K
Iván López Álvarez,€7000K,€8K
Alexander Isak,€8500K,€15K
Alejandro Bergantiños García,€2200K,€8K
Nemanja Radoja,€7000K,€21K
Jaromír Zmrhal,€6500K,€13K
Joel Kayamba,€6000K,€1K
Pablo De Blasis,€4900K,€20K
Iuri José Picanço Medeiros,€7000K,€13K
Raphaël Nuzzolo,€2600K,€7K
Thulani Hlatshwayo,€0,€0
Sven van Beek,€6500K,€10K
Ianis Hagi,€9500K,€11K
Pedro Miguel Cunha Sá,€6500K,€7K
Lucas Torró Marset,€7000K,€22K
Dorian Dessoleil,€6000K,€13K
José Antonio Rodríguez,€5000K,€24K
Diego Braghieri,€3600K,€18K
Emir Dilaver,€5500K,€1K
Bruno José Pavani Lamas,€7500K,€6K
Alan Patrick Lourenço,€5500K,€1K
Thomas Goiginger,€6500K,€12K
Mikel Balenziaga,€4100K,€18K
Giorgi Chakvetadze,€10000K,€11K
Liam Cooper,€5500K,€46K
Alfredo Talavera,€950K,€10K
Rodrigo Éder Serpa Conceição,€4300K,€22K
Ozan Kabak,€8500K,€12K
James Chester,€4600K,€41K
Diafra Sakho,€5500K,€38K
Hendrik Van Crombrugge,€5500K,€13K
Salvador Sánchez Ponce,€5500K,€10K
Leon Balogun,€4200K,€35K
Pascoal Simão Muscato Vieira,€5000K,€28K
Víctor Cantillo,€7000K,€4K
Diego Queiroz de Oliveira,€5500K,€12K
Enrique Gallego Puigsech,€4500K,€22K
Marco Silvestri,€4100K,€12K
Maxime Lestienne,€6000K,€16K
Anselmo de Moraes,€4600K,€20K
Jonathan Silva,€6500K,€22K
Pedro Nuno Fernandes Ferreira,€7500K,€11K
Daichi Kamada,€8000K,€27K
Matías Alustiza,€2600K,€7K
Bryan Heynen,€7500K,€13K
Javier Manquillo Gaitán,€6500K,€29K
Federico González,€4500K,€17K
Daniel João Santos Candeias,€4900K,€16K
Rodrigo Rey,€5000K,€15K
Alen Halilović,€7500K,€8K
Danilo Barbosa da Silva,€7500K,€23K
Rodrigo Nascimento França,€8500K,€12K
Mamadou Loum,€8000K,€9K
Álvaro Vadillo Cifuentes,€7000K,€16K
Patrick Roberts,€8500K,€34K
Fábio José Ferreira Pacheco,€4300K,€10K
Florent Hanin,€4600K,€10K
Harold Preciado,€7500K,€15K
Caio Bruno Milaçar Kenedy,€2500K,€9K
Christian Atsu,€6000K,€33K
Idrissa Mandiang,€2200K,€6K
Almamy Touré,€6500K,€22K
Mariano Andújar,€1500K,€7K
Ryan Fredericks,€6000K,€53K
Kristoffer Olsson,€0,€0
Pape Abou Cissé,€7000K,€1K
Yohann Pelé,€950K,€14K
Marin Pongračić,€7500K,€20K
Ryan Jack,€6000K,€39K
Enda Stevens,€4800K,€29K
Aatif Chahechouhe,€4400K,€16K
Jeffrey Bruma,€6000K,€32K
Ilya Kutepov,€6500K,€37K
Fin Bartels,€4400K,€23K
Jeremiah St. Juste,€7000K,€18K
Elias Thiago Fontoira Marques,€1800K,€15K
Justin Bijlow,€6500K,€6K
Elvis Sarić,€5500K,€33K
Jozabed Sánchez Ruiz,€5500K,€10K
Ángel González,€7000K,€16K
Marvin Zeegelaar,€4800K,€47K
Gian Marco Ferrari,€5500K,€37K
José Luis Sanmartín Mato,€5500K,€23K
Gustav Svensson,€3700K,€7K
Bruno Fornaroli,€5000K,€9K
Philip Billing,€8000K,€43K
Francisco Geraldes,€7500K,€1K
Enaldo Diogo Barbosa Prazeres,€4100K,€22K
Leigh Griffiths,€6000K,€48K
Xabier Etxeita Gorritxat.,€4200K,€18K
Jairo Samperio Bustara,€6500K,€13K
Che Adams,€8000K,€41K
Maximiliano Rodríguez,€1900K,€13K
Iago Amaral Borduchi,€8000K,€17K
Hélder Wander Sousa Azevedo Costa,€7000K,€48K
Christian Benteke,€6000K,€48K
Kemar Roofe,€7000K,€19K
Erik Durm,€5500K,€26K
Clinton Njie,€0,€0
Enzo Kalinski,€3700K,€14K
Kemar Lawrence,€5500K,€7K
Fabian Frei,€4600K,€21K
Marcel Risse,€5500K,€24K
Lucas Pedro Alves de Lima,€5000K,€29K
Pablo Martinez,€4600K,€19K
Frederik Rønnow,€5000K,€21K
Jean-Pierre Nsame,€7000K,€22K
Jordi Amat Maas,€6000K,€11K
Maximiliano López,€2600K,€4K
Óscar Opazo,€4800K,€8K
Abel Aguilar,€2200K,€2K
